what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1291915221102
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1291915221120
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1291915221275
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1291915230382
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1291915233655
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1291915233984
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291915242968
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291915249868
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291915253161
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291959329349
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291959334154
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291959335253
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291959335505
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1291959336094
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1291959336130
